ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
Song of Solomon 5:2,Song of Solomon,5,2,0,none,different_from_both,"I sleep, and my heart wakes. Voice of my beloved knocks at door: ""Open to me, my sister, my dear one, my dove, my perfect one, because my head filled with dew and my locks with drops of night.""","I sleep, but my heart wakes: it is the voice of my beloved that knocks, saying, Open to me, my sister, my love, my dove, my undefiled: for my head is filled with dew, and my locks with the drops of the night.","I sleep, but my heart is awake: the voice of my kinsman knocks at the door, saying, Open, open to me, my companion, my sister, my dove, my perfect one: for my head is filled with dew, and my locks with the drops of the night.",0.792,0.152
Judges 6:8,Judges,6,8,0,none,different_from_both,"that the Lord sent a man, a prophet, to the sons of Israel and said to them, Thus says the Lord God of Israel: I am the one who brought you up out of Egypt and brought you out of the house of slavery.","That the LORD sent a prophet unto the children of Israel, which said unto them, Thus says the LORD God of Israel, I brought you up from Egypt, and brought you forth out of the house of bondage;","And the Lord sent a prophet to the children of Israel; and he said to them, Thus says the Lord God of Israel, I am he that brought you up out of the land of Egypt, and I brought you up out of the house of your bondage.",0.825,0.191
Numbers 1:2,Numbers,1,2,0,none,different_from_both,"Take the headcount of the whole congregation of the sons of Israel by their families, by the houses of their fathers, by the number of their names, by their heads, every male,","Take all of you the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;","Take the sum of all the congregation of Israel according to their kindreds, according to the houses of their fathers' families, according to their number by their names, according to their heads: every male",0.752,0.119
Genesis 47:14,Genesis,47,14,0,none,different_from_both,"And Joseph gathered all the money found in the land of Egypt and in the land of Canaan for the grain that they were buying, and he measured out grain to them. And Joseph brought all the money into Pharaoh's house.","And Joseph gathered up all the money that was found in the land of Egypt, and in the land of Canaan, for the corn which they bought: and Joseph brought the money into Pharaoh's house.","And Joseph gathered all the money that was found in the land of Egypt, and the land of Chanaan, in return for the corn which they bought, and he distributed corn to them; and Joseph brought all the money into the house of Pharao.",0.817,0.185
Ezekiel 15:6,Ezekiel,15,6,0,none,different_from_both,"Therefore thus says the Lord: As vine-wood among trees of forest, which I gave to fire for consuming, so I have given inhabitants of Jerusalem.","Therefore thus says the Lord GOD; As the vine tree among the trees of the forest, which I have given to the fire for fuel, so will I give the inhabitants of Jerusalem.","Therefore say,",0.801,0.171
Numbers 5:14,Numbers,5,14,0,none,different_from_both,"and a spirit of jealousy comes upon him and he is jealous of his wife and she has been defiled, or a spirit of jealousy comes upon him and he is jealous of his wife and she has not been defiled,","And the spirit of jealousy come upon him, and he be jealous of his wife, and she be defiled: or if the spirit of jealousy come upon him, and he be jealous of his wife, and she be not defiled:","and there should come upon him a spirit of jealousy, and he should be jealous of his wife, and she be defiled; or there should come upon him a spirit of jealousy, and he should be jealous of his wife, and she should not be defiled;",0.902,0.278
Ezekiel 47:4,Ezekiel,47,4,0,none,different_from_both,"And he measured a thousand and led me through the water, water up to the thighs; and he measured a thousand and led me through water up to the waist.","Again he measured a thousand, and brought me through the waters; the waters were to the knees. Again he measured a thousand, and brought me through; the waters were to the loins.","and he passed through the water; it was water of a fountain: and again he measured a thousand, and passed through the water; and the water was up to the thighs: and again he measured a thousand; and he passed through water up to the loins.",0.792,0.169
Judges 20:15,Judges,20,15,0,none,different_from_both,"And the sons of Benjamin were counted on that day from the cities, twenty-five thousand men drawing sword, besides the inhabitants of Gibeah; these were counted, seven hundred chosen young men.","And the children of Benjamin were numbered at that time out of the cities twenty and six thousand men that drew sword, beside the inhabitants of Gibeah, which were numbered seven hundred chosen men.","And the children of Benjamin from their cities were numbered in that day, twenty-three thousand, every man drawing a sword, besides the inhabitants of Gabaa, who were numbered seven hundred chosen men of all the people, able to use both hands alike;",0.789,0.167
Leviticus 13:4,Leviticus,13,4,0,none,different_from_both,"But if the bright spot is white on the skin of his flesh, and its appearance is not deeper than the skin, and its hair has not turned white, and it is dim, then the priest shall isolate the mark seven days.","If the bright spot be white in the skin of his flesh, and in sight be not deeper than the skin, and the hair thereof be not turned white; then the priest shall shut up him that has the plague seven days:","But if the spot be clear and white in the skin of his flesh, yet the appearance of it be not deep below the skin, and its hair have not changed itself for white hair, but it is dark, then the priest shall separate him that has the spot seven days;",0.780,0.163
2 Chronicles 6:26,2 Chronicles,6,26,0,none,different_from_both,"When heaven is shut and rain does not come because they sin against you, and they pray toward this place and praise your name and turn from their sins because you humbled them,","When the heaven is shut up, and there is no rain, because they have sinned against you; yet if they pray toward this place, and confess your name, and turn from their sin, when you do afflict them;","When heaven is restrained, and there is no rain, because they shall have sinned against thee, and when they shall pray towards this place, and praise thy name, and shall turn from their sins, because thou shalt afflict them;",0.764,0.148
